,0
714,3.9
715,47.0
716,10.9
717,9.3
718,24.9
719,9.1
720,9.9
721,23.8
722,0.0
723,11.1
724,9.7
725,5.6
726,17.0
727,8.8
728,1.3
729,12.3
730,25.8
731,54.1
732,8.5
733,7.4
734,6.1
735,20.9
736,5.7
737,15.4
738,9.0
739,21.8
740,7.7
741,13.5
742,16.6
743,11.8
744,13.3
745,11.0
746,0.0
747,8.7
748,16.3
749,4.2
750,8.6
751,9.7
752,10.8
753,15.6
754,8.5
755,6.9
756,7.4
757,10.2
758,11.6
759,10.2
760,7.0
761,12.7
762,9.5
763,10.8
764,0.0
765,16.2
766,10.2
767,0.0
768,25.2
769,3.6
770,21.2
771,3.2
772,11.8
773,7.1
774,6.6
775,5.6
776,0.0
777,11.7
778,3.2
779,5.7
780,4.1
781,13.0
782,5.9
783,15.4
784,20.8
785,32.6
786,8.4
787,0.0
788,14.2
789,15.3
790,13.4
791,9.2
792,5.9
793,46.2
794,8.8
795,6.1
796,17.5
797,11.8
798,24.2
799,9.8
800,22.4
801,13.3
802,8.1
803,9.1
804,4.4
805,10.3
806,8.0
807,8.7
808,8.1
809,0.0
810,4.9
811,0.0
812,0.0
813,20.1
814,0.0
815,11.2
816,11.6
817,2.6
818,13.1
819,10.6
820,15.3
821,7.1
822,10.0
823,12.3
824,8.3
825,0.0
826,8.1
827,5.3
828,6.9
829,11.3
830,11.1
831,13.3
832,12.6
833,10.55
834,10.5
835,9.3
836,10.7
837,17.0
838,9.6
839,9.9
840,25.8
841,11.1
842,10.1
843,7.3
844,10.9
845,8.4
846,13.1
847,10.8
848,9.0
849,12.8
850,8.1
851,5.9
852,16.0
853,3.9
854,10.0
855,11.6
856,8.8
857,23.3
858,9.0
859,21.3
860,53.6
861,10.3
862,21.5
863,7.2
864,10.2
865,8.4
866,0.0
867,6.6
868,8.1
869,6.3
870,6.9
871,7.2
872,11.8
873,7.9
874,4.8
875,9.2
876,4.0
877,9.8
878,0.0
879,6.0
880,10.1
881,6.8
882,11.9
883,2.0
884,11.6
885,9.8
886,9.0
887,0.0
888,4.0
889,0.0
890,7.4
891,5.0
892,15.1
893,4.9
894,17.7
895,9.3
896,12.0
897,9.5
898,9.5
899,37.7
900,9.2
901,8.1
902,8.9
903,8.1
904,7.3
905,3.7
906,26.7
907,7.4
908,4.5
909,7.1
910,10.7
911,32.5
912,5.8
913,2.2
914,8.4
915,5.4
916,16.5
917,13.4
918,9.9
919,6.1
920,56.1
921,8.8
922,8.3
923,19.1
924,0.0
925,0.0
926,0.0
927,6.6
928,13.5
929,7.6
930,11.3
931,2.8
932,14.1
933,65.6
934,10.2
935,0.0
936,25.0
937,14.0
938,0.0
939,15.4
940,6.7
941,9.8
942,26.2
943,6.4
944,24.1
945,39.6
946,12.2
947,7.7
948,0.0
949,0.0
950,8.5
951,21.6
952,6.7
953,4.5
954,9.4
955,6.7
956,11.0
957,13.7
958,11.2
959,9.4
960,10.0
961,1.8
962,9.7
963,6.7
964,0.0
965,12.4
966,15.5
967,7.1
968,15.7
969,9.9
970,10.0
971,6.4
972,16.5
973,0.0
974,2.6
975,8.3
976,25.2
977,8.4
978,13.9
979,3.5
980,10.9
981,15.1
982,7.3
983,11.1
984,8.6
985,7.0
986,9.9
987,9.4
988,4.1
989,11.3
990,38.8
991,6.5
992,32.6
993,8.8
994,6.7
995,3.3
996,13.8
997,6.4
998,10.8
999,8.0
1000,16.7
1001,18.0
1002,0.0
1003,25.8
1004,4.9
1005,7.9
1006,7.4
1007,11.8
1008,7.0
1009,23.4
1010,21.9
1011,7.0
1012,12.3
1013,9.7
1014,9.5
1015,13.1
1016,14.4
1017,13.75
1018,7.3
1019,7.4
1020,2.0
1021,7.7
1022,5.6
1023,12.4
1024,6.7
1025,11.8
1026,3.9
1027,37.9
1028,7.9
1029,9.3
1030,5.8
1031,8.8
1032,8.0
1033,7.6
1034,0.0
1035,29.4
1036,8.1
1037,43.4
1038,13.1
1039,0.0
1040,7.2
1041,19.0
1042,13.3
1043,8.1
1044,10.8
1045,6.8
1046,12.8
1047,9.5
1048,11.5
1049,10.2
1050,9.6
1051,4.4
1052,11.7
1053,5.5
1054,8.7
1055,6.5
1056,15.2
1057,8.7
1058,6.7
1059,5.0
1060,10.3
1061,3.1
1062,20.1
1063,0.0
1064,6.5
1065,11.1
1066,12.2
1067,17.0
1068,11.3
1069,12.5
1070,7.0
1071,13.5
1072,9.8
1073,10.4
1074,17.7
1075,9.6
1076,9.9
1077,14.1
1078,15.1
1079,8.1
1080,10.2
1081,10.0
1082,0.0
1083,17.5
1084,8.4
1085,8.5
1086,4.3
1087,13.9
1088,9.9
1089,63.7
1090,0.0
1091,2.6
1092,20.8
1093,9.7
1094,11.1
1095,9.7
1096,12.9
1097,11.6
1098,0.0
1099,48.5
1100,21.3
1101,8.5
1102,12.7
1103,6.6
1104,10.0
1105,9.6
1106,6.4
1107,8.3
1108,11.3
1109,9.9
1110,9.7
1111,8.5
1112,12.0
1113,3.0
1114,5.7
1115,9.7
1116,6.0
1117,22.9
1118,9.7
1119,3.7
1120,11.1
1121,8.0
1122,3.5
1123,2.4
1124,76.7
1125,24.1
1126,8.8
1127,11.6
1128,8.9
1129,9.9
1130,6.9
1131,8.1
1132,15.4
1133,30.4
1134,9.6
1135,9.8
1136,12.6
1137,9.3
1138,3.2
1139,65.9
1140,7.2
1141,6.4
1142,22.8
1143,11.1
1144,10.9
1145,14.6
1146,10.9
1147,5.4
1148,36.9
1149,9.2
1150,8.7
1151,10.6
1152,20.9
1153,4.7
1154,10.1
1155,0.0
1156,10.2
1157,7.6
1158,6.3
1159,6.9
1160,34.0
1161,11.9
1162,21.7
1163,10.3
1164,9.5
1165,6.6
1166,8.6
1167,9.0
1168,13.0
1169,9.0
1170,35.1
1171,0.0
1172,7.0
1173,9.4
1174,0.0
1175,7.7
1176,11.6
1177,52.0
1178,9.3
1179,10.1
1180,8.7
1181,10.5
1182,11.6
1183,9.6
1184,0.0
1185,8.5
1186,11.1
1187,10.0
1188,7.2
1189,8.0
1190,8.1
1191,0.0
1192,69.2
1193,61.4
1194,13.5
1195,9.1
1196,7.9
1197,10.0
1198,16.2
1199,9.9
1200,1.5
1201,6.8
1202,12.4
1203,7.9
1204,10.9
1205,42.0
1206,61.3
1207,54.2
1208,10.0
1209,10.7
1210,8.1
1211,14.7
1212,6.5
1213,31.2
1214,11.8
1215,7.3
1216,4.9
1217,11.8
1218,12.6
1219,10.0
1220,7.1
1221,7.1
1222,22.2
1223,34.5
1224,11.9
1225,8.8
1226,15.5
1227,1.4
1228,11.3
1229,21.8
1230,8.4
1231,7.0
1232,10.5
1233,39.3
1234,3.9
1235,10.8
1236,35.7
1237,19.4
1238,0.0
1239,12.0
1240,5.3
1241,7.3
1242,8.4
1243,7.1
1244,9.9
1245,0.0
1246,10.2
1247,7.6
1248,11.7
1249,8.2
1250,7.2
1251,10.4
1252,0.0
1253,14.8
1254,12.5
1255,17.9
1256,3.5
1257,12.7
1258,9.6
1259,0.0
1260,4.1
1261,23.4
1262,16.5
1263,10.1
1264,5.4
1265,9.0
1266,8.0
1267,29.8
1268,14.7
1269,12.8
1270,9.3
1271,8.0
1272,8.2
1273,38.3
1274,28.5
1275,20.2
1276,10.2
1277,7.2
1278,9.8
1279,10.5
1280,3.8
1281,2.0
1282,10.4
1283,9.2
1284,5.8
1285,10.8
1286,24.6
1287,0.0
1288,17.4
1289,15.6
1290,5.8
1291,4.7
1292,9.4
1293,17.5
1294,5.2
1295,19.2
1296,8.4
1297,11.7
1298,9.8
1299,16.6
1300,10.2
1301,7.4
1302,8.8
1303,13.6
1304,36.3
1305,3.9
1306,11.6
1307,64.3
1308,9.0
1309,12.0
1310,61.6
1311,9.9
1312,7.6
1313,10.7
1314,14.4
1315,10.2
1316,10.7
1317,2.4
1318,9.6
1319,3.0
1320,64.3
1321,5.5
1322,7.4
1323,12.1
1324,15.1
1325,8.5
1326,6.9
1327,8.7
1328,10.1
1329,33.8
1330,9.4
1331,9.7
1332,10.5
1333,57.2
1334,20.9
1335,7.5
1336,11.0
1337,23.3
1338,5.3
1339,9.1
1340,2.9
1341,13.6
1342,7.8
1343,9.5
1344,10.2
1345,10.5
1346,9.1
1347,14.5
1348,4.7
1349,0.0
1350,3.5
1351,8.9
1352,3.5
1353,39.7
1354,4.2
1355,11.1
1356,13.2
1357,12.1
1358,10.4
1359,10.9
1360,23.9
1361,17.0
1362,18.5
1363,12.4
1364,64.1
1365,8.5
1366,10.1
1367,7.3
1368,21.0
1369,4.1
1370,7.4
1371,3.2
1372,7.3
1373,9.2
1374,7.4
1375,5.6
1376,0.0
1377,9.9
1378,7.8
1379,0.0
1380,9.6
1381,12.6
1382,5.5
1383,9.2
1384,22.7
1385,8.9
1386,0.0
1387,34.4
1388,9.8
1389,12.7
1390,21.1
1391,10.6
1392,6.7
1393,8.0
1394,0.0
1395,15.4
1396,15.6
1397,10.4
1398,12.2
1399,9.2
1400,10.4
1401,16.3
1402,16.1
1403,13.2
1404,9.8
1405,10.9
1406,0.0
1407,6.8
1408,11.5
1409,12.5
1410,7.3
1411,10.4
1412,4.2
1413,8.7
1414,9.3
1415,9.6
1416,10.6
1417,10.2
1418,8.3
1419,5.4
1420,10.6
1421,35.9
1422,2.5
1423,12.5
1424,0.0
1425,18.6
1426,52.7
1427,17.9
1428,8.4
1429,6.7
1430,6.9
1431,8.1
1432,13.6
1433,2.8
1434,8.4
1435,14.5
1436,17.0
1437,6.7
1438,9.1
1439,9.6
1440,6.0
1441,8.9
1442,11.0
1443,10.0
1444,10.8
1445,7.0
1446,10.7
1447,7.3
1448,6.3
1449,3.7
1450,2.6
1451,9.7
1452,4.6
1453,12.5
1454,9.5
1455,16.9
1456,10.7
1457,46.0
1458,7.4
1459,11.9
1460,16.7
1461,6.9
1462,12.9
1463,14.3
1464,72.6
1465,10.0
1466,10.3
1467,4.7
1468,0.0
1469,13.8
1470,5.4
1471,12.9
1472,11.9
1473,19.8
1474,8.4
1475,8.9
1476,0.0
1477,0.0
1478,4.2
1479,8.5
1480,9.5
1481,9.5
1482,3.3
1483,6.1
1484,13.0
1485,0.0
1486,27.8
1487,11.8
1488,10.6
1489,0.0
1490,48.3
1491,7.7
1492,8.4
1493,0.0
1494,0.0
1495,13.1
1496,6.1
1497,0.0
1498,25.3
1499,10.3
1500,12.0
1501,8.3
1502,10.6
1503,6.0
1504,3.2
1505,53.5
1506,5.3
1507,19.3
1508,58.8
1509,14.1
1510,10.8
1511,10.0
1512,3.3
1513,13.0
1514,7.8
1515,10.0
1516,27.6
1517,24.2
1518,9.3
1519,7.3
1520,6.5
1521,8.3
1522,7.8
1523,7.4
1524,4.5
1525,12.6
1526,0.0
1527,21.6
1528,9.5
1529,8.9
1530,9.2
1531,11.8
1532,13.9
1533,23.4
1534,20.7
1535,13.5
1536,17.0
1537,8.3
1538,4.0
1539,34.4
1540,13.3
1541,3.4
1542,7.5
1543,6.6
1544,3.5
1545,9.1
1546,14.3
1547,3.9
1548,9.2
1549,14.0
1550,10.4
1551,10.5
1552,11.8
1553,8.3
1554,17.8
1555,18.9
1556,10.0
1557,48.0
1558,33.9
1559,5.3
1560,10.1
1561,8.0
1562,11.3
1563,7.3
1564,10.2
1565,3.6
1566,13.1
1567,8.2
1568,7.4
1569,2.8
1570,4.2
1571,16.8
1572,14.7
1573,14.1
1574,13.4
1575,3.9
1576,6.6
1577,29.4
1578,11.5
1579,7.6
1580,0.0
1581,8.0
1582,11.8
1583,5.8
1584,0.0
1585,7.8
1586,10.9
1587,7.5
1588,10.1
1589,0.0
1590,8.8
1591,5.0
1592,14.2
1593,7.8
1594,29.3
1595,0.4
1596,8.1
1597,6.5
1598,8.0
1599,3.9
1600,16.2
1601,10.2
1602,5.7
1603,12.5
1604,19.9
1605,11.1
1606,0.0
1607,7.8
1608,2.3
1609,20.9
1610,5.6
1611,4.1
1612,8.9
1613,10.6
1614,38.2
1615,9.0
1616,5.1
1617,0.0
1618,9.0
1619,34.8
1620,40.9
1621,9.6
1622,6.3
1623,7.9
1624,9.6
1625,11.3
1626,0.0
1627,13.7
1628,8.4
1629,12.1
1630,9.5
1631,11.5
1632,10.3
1633,7.4
1634,15.7
1635,11.8
1636,8.6
1637,0.0
1638,1.7
1639,12.7
1640,0.0
1641,39.0
1642,14.1
1643,0.0
1644,14.1
1645,15.3
1646,10.85
1647,0.0
1648,7.4
1649,24.0
1650,20.5
1651,7.8
1652,10.2
1653,0.0
1654,13.9
1655,13.5
1656,3.7
1657,18.3
1658,8.4
1659,10.0
1660,14.7
1661,20.5
1662,0.0
1663,2.6
1664,5.5
1665,11.3
1666,10.3
1667,21.3
1668,5.3
1669,6.2
1670,9.1
1671,15.6
1672,18.3
1673,11.8
1674,9.7
1675,5.8
1676,13.8
1677,12.4
1678,9.6
1679,10.5
1680,10.4
1681,56.3
1682,0.0
1683,29.1
1684,5.7
1685,15.2
1686,3.7
1687,9.2
1688,14.6
1689,26.2
1690,6.9
1691,10.8
1692,10.3
1693,9.2
1694,8.3
1695,0.0
1696,5.3
1697,19.2
1698,8.0
1699,5.4
1700,10.4
1701,43.0
1702,7.2
1703,11.3
1704,0.0
1705,74.9
1706,8.3
1707,7.6
1708,8.4
1709,11.2
1710,41.1
1711,10.7
1712,6.3
1713,10.1
1714,6.7
1715,15.0
1716,0.0
1717,7.5
1718,9.0
1719,10.3
1720,14.4
1721,7.7
1722,16.5
1723,1.1
1724,0.0
1725,4.0
1726,9.7
1727,9.0
1728,10.0
1729,8.7
1730,23.0
1731,3.2
1732,7.7
1733,9.8
1734,7.2
1735,5.7
1736,8.4
1737,7.9
1738,26.0
1739,11.0
1740,8.1
1741,0.0
1742,7.3
1743,8.4
1744,32.1
1745,13.5
1746,5.5
1747,12.3
1748,10.7
1749,14.6
1750,9.5
1751,0.0
1752,18.3
1753,14.4
1754,5.9
1755,11.8
1756,9.5
1757,35.6
1758,0.0
1759,2.7
1760,4.5
1761,22.8
1762,6.1
1763,8.4
1764,10.6
1765,6.1
1766,8.7
1767,9.0
1768,13.6
1769,8.1
1770,15.7
1771,0.0
1772,10.4
1773,9.7
1774,36.2
1775,6.7
1776,15.7
1777,3.1
1778,19.3
1779,15.7
1780,7.5
1781,2.1
1782,5.1
1783,7.3
1784,10.9
1785,15.9
1786,8.5
1787,11.0
1788,11.3
1789,8.3
1790,0.0
1791,3.0
1792,5.3
1793,10.1
1794,12.1
1795,10.4
1796,5.9
1797,7.4
1798,22.4
1799,33.7
1800,9.3
1801,3.9
1802,11.2
1803,3.0
1804,15.8
1805,0.0
1806,5.4
1807,12.0
1808,7.2
1809,9.8
1810,5.1
1811,13.8
1812,0.0
1813,18.3
1814,12.5
1815,6.2
1816,9.2
1817,13.9
1818,18.6
1819,9.9
1820,0.0
1821,10.9
1822,9.1
1823,21.0
1824,47.1
1825,11.4
1826,9.5
1827,9.6
1828,6.7
1829,23.9
1830,10.2
1831,0.0
1832,9.1
1833,34.0
1834,16.6
1835,7.0
1836,10.6
1837,7.1
1838,12.2
1839,8.4
1840,0.0
1841,4.5
1842,10.8
1843,1.2
1844,9.3
1845,7.1
1846,0.0
1847,8.8
1848,8.9
1849,10.4
1850,16.5
1851,5.6
1852,42.4
1853,11.8
1854,3.1
1855,11.7
1856,12.6
1857,14.1
1858,8.7
1859,25.1
1860,1.9
1861,14.4
1862,7.3
1863,11.6
1864,11.0
1865,81.9
1866,10.8
1867,4.1
1868,9.9
1869,16.8
1870,8.4
1871,10.7
1872,0.0
1873,13.0
1874,9.3
1875,14.1
1876,16.4
1877,11.4
1878,3.4
1879,32.0
1880,13.6
1881,63.0
1882,0.0
1883,23.4
1884,38.3
1885,9.6
1886,10.3
1887,9.2
1888,4.6
1889,12.1
1890,2.3
1891,11.2
1892,4.5
1893,22.2
1894,0.0
1895,10.4
1896,4.7
1897,11.3
1898,44.1
1899,8.9
1900,9.6
1901,9.9
1902,10.4
1903,19.7
1904,0.0
1905,9.5
1906,11.9
1907,26.7
1908,6.2
1909,9.9
1910,19.9
1911,8.5
1912,11.2
1913,8.9
1914,3.6
1915,11.2
1916,15.1
1917,34.8
1918,9.2
1919,75.8
1920,0.0
1921,11.8
1922,13.9
1923,16.8
1924,34.0
1925,11.4
1926,12.7
1927,8.6
1928,0.0
1929,14.1
1930,6.9
1931,17.1
1932,12.3
1933,6.5
1934,74.6
1935,9.1
1936,8.8
1937,8.8
1938,15.1
1939,12.2
1940,7.9
1941,7.6
1942,31.5
1943,7.7
1944,12.7
1945,72.4
1946,8.1
1947,7.9
1948,8.4
1949,9.6
1950,16.4
1951,8.5
1952,4.6
1953,17.6
1954,12.3
1955,12.3
1956,32.8
1957,5.6
1958,13.5
1959,10.3
1960,7.8
1961,9.7
1962,41.0
1963,6.7
1964,8.5
1965,5.0
1966,3.1
1967,12.7
1968,2.1
1969,14.9
1970,11.5
1971,5.8
1972,37.8
1973,0.0
1974,21.5
1975,6.3
1976,12.2
1977,7.4
1978,15.4
1979,3.2
1980,7.0
1981,28.0
1982,9.7
1983,11.7
1984,13.6
1985,35.2
1986,0.0
1987,19.5
1988,2.8
1989,7.2
1990,11.8
1991,13.4
1992,7.6
1993,13.0
1994,19.3
1995,7.1
1996,27.0
1997,3.2
1998,11.3
1999,12.4
2000,8.5
2001,0.0
2002,7.3
2003,0.0
2004,14.6
2005,13.6
2006,9.7
2007,9.9
2008,10.9
2009,18.6
2010,8.7
2011,8.1
2012,9.8
2013,30.2
2014,9.1
2015,8.6
2016,7.9
2017,9.4
2018,11.6
2019,13.5
2020,15.2
2021,8.2
2022,10.1
2023,0.0
2024,8.1
2025,25.2
2026,9.1
2027,3.3
2028,6.3
2029,7.7
2030,10.5
2031,2.4
2032,10.1
2033,23.2
2034,8.1
2035,7.4
2036,16.4
2037,15.1
2038,10.5
2039,2.3
2040,11.6
2041,10.3
2042,6.5
2043,61.7
2044,21.7
2045,10.6
2046,9.6
2047,11.6
2048,14.0
2049,18.0
2050,13.9
2051,9.3
2052,14.1
2053,5.2
2054,23.4
2055,3.7
2056,5.2
2057,37.7
2058,21.1
2059,8.5
2060,11.3
2061,1.1
2062,24.2
2063,4.2
2064,20.9
2065,10.2
2066,68.2
2067,13.7
2068,20.1
2069,6.9
2070,4.6
2071,5.4
2072,9.5
2073,10.0
2074,6.35
2075,11.6
2076,14.2
2077,0.0
2078,7.6
2079,43.7
2080,14.2
2081,1.6
2082,4.5
2083,2.9
2084,34.5
2085,10.8
2086,12.1
2087,8.1
2088,0.0
2089,3.9
2090,5.5
2091,8.0
2092,9.3
2093,3.7
2094,3.2
2095,19.6
2096,13.9
2097,8.9
2098,6.5
2099,6.7
2100,0.0
2101,11.9
2102,19.8
2103,17.2
2104,13.8
2105,6.2
2106,5.7
2107,30.5
2108,9.2
2109,10.5
2110,9.9
2111,7.0
2112,9.4
2113,0.0
2114,26.9
2115,4.2
2116,10.0
2117,14.2
2118,3.8
2119,9.3
2120,7.9
2121,16.05
2122,9.5
2123,11.0
2124,17.3
2125,0.0
2126,24.0
2127,7.1
2128,9.6
2129,6.8
2130,7.2
2131,9.2
2132,19.7
2133,24.4
2134,9.4
2135,0.0
2136,10.9
2137,38.2
2138,6.6
2139,10.5
2140,21.0
