MovingAverage,HistoricWindow,PredictionWindow,MAE,MSE,RMSE
MPAH-12,PAH-24,half,1.4301625928988133,7.179393131215707,2.67943895829252
MPAH-12,PAH-24,PAH+1,2.451909406712172,19.160921958689052,4.377319037800312
MPAH-12,PAH-24,PAH+2,3.463506111914355,32.215643580220835,5.675882625655752
MPAH-12,PAH-24,PAH+3,4.0350778995139445,41.411991144324645,6.435214926039739
MPAH-12,PAH-24,PAH+4,4.3963475811063635,48.66222278235058,6.975831332705127
MPAH-12,PAH-24,PAH+6,4.65302280205523,53.53025855783153,7.316437559210871
MPAH-12,PAH-24,PAH+12,4.5653363699615745,49.46375226988188,7.033047153964054
MPAH-12,PAH-24,PAH+24,4.010150146958934,37.49031119061678,6.122933217879873
MPAH-12,PAH-12,quarter,0.7746491180470494,1.9275637351761383,1.3883672911647473
MPAH-12,PAH-12,half,1.4266750167542332,7.2130238746068605,2.6857073322696317
MPAH-12,PAH-12,PAH+1,2.444262807453604,19.40498809688401,4.405109317245602
MPAH-12,PAH-12,PAH+2,3.469462925391161,32.35625777587989,5.6882561278374135
MPAH-12,PAH-12,PAH+3,4.032234269355766,41.55799609781184,6.446549161978976
MPAH-12,PAH-12,PAH+4,4.394154441553045,48.76608880935293,6.983272070408894
MPAH-12,PAH-12,PAH+6,4.646633761077015,53.133145622585424,7.289248632238128
MPAH-12,PAH-12,PAH+12,3.9885231604320928,39.27932113228676,6.267321687314826
MPAH-12,PAH-12,PAH+24,4.10900759884746,40.22539028161028,6.342348956152624
MPAH-12,PAH-6,quarter,0.7713665847790199,1.932605007455976,1.3901816454895295
MPAH-12,PAH-6,half,1.4201201941539046,7.241644360919331,2.6910303530282467
MPAH-12,PAH-6,PAH+1,2.441184805895172,19.521414430379703,4.418304474612372
MPAH-12,PAH-6,PAH+2,3.456482222535693,32.52555168591176,5.703117716294462
MPAH-12,PAH-6,PAH+3,4.023998692946149,41.72019276524962,6.459117026749834
MPAH-12,PAH-6,PAH+4,4.394356597875262,48.931115656733866,6.995077959303518
MPAH-12,PAH-6,PAH+6,4.662827227219952,53.91867840431298,7.342933909842372
MPAH-12,PAH-6,PAH+12,4.553197403212073,47.57794517850292,6.897676795740934
MPAH-12,PAH-6,PAH+24,4.109458973162577,40.309040678014306,6.348940122415261
MPAH-12,PAH-3,quarter,0.7660704011609992,1.8898242079700076,1.3747087720568336
MPAH-12,PAH-3,half,1.4109122054947625,7.092848793514561,2.663240280844851
MPAH-12,PAH-3,PAH+1,2.4212415475425373,19.122252941198962,4.372899832056408
MPAH-12,PAH-3,PAH+2,3.4329565285110744,31.63246737441707,5.624274830981952
MPAH-12,PAH-3,PAH+3,4.00956430581586,40.82269286146605,6.389263874771964
MPAH-12,PAH-3,PAH+4,4.3959797577266775,48.360563903272755,6.954176004622888
MPAH-12,PAH-3,PAH+6,4.664044055822128,53.82882222907158,7.336812811369224
MPAH-12,PAH-3,PAH+12,4.551864046681441,48.065810997325485,6.932951103053121
MPAH-12,PAH-3,PAH+24,4.104366239653987,40.21740707688851,6.341719567821374
MPAH-12,PAH-1,quarter,0.7443458414866468,1.7839827556555274,1.3356581732073245
