,0,1,2,3,4,5,6,7
109,2019.0,8.0,25.0,22.0,15.0,20.4,14.0,12.6
110,2019.0,6.0,17.0,3.0,0.0,14.81111111,11.1,10.0
111,2019.0,9.0,5.0,2.0,0.0,14.51666667,7.8,9.0
112,2019.0,2.0,12.0,0.0,0.0,2.327777778,11.8,10.8
113,2019.0,3.0,23.0,11.0,15.0,7.544444444,5.2,3.8
114,2019.0,7.0,27.0,16.0,0.0,22.97222222,21.8,27.1
115,2018.0,12.0,14.0,22.0,0.0,2.6777777780000003,9.5,9.2
116,2018.0,12.0,27.0,11.0,45.0,7.377777778,10.2,8.6
117,2019.0,10.0,25.0,17.0,15.0,12.38333333,6.8,10.9
118,2019.0,8.0,21.0,18.0,0.0,18.47777778,11.4,18.9
119,2019.0,4.0,19.0,12.0,30.0,10.93888889,11.9,10.9
120,2019.0,11.0,9.0,14.0,30.0,8.483333333,4.4,10.8
121,2019.0,10.0,25.0,18.0,45.0,12.07777778,11.6,10.7
122,2019.0,8.0,20.0,8.0,0.0,16.9,7.2,10.1
123,2019.0,1.0,4.0,1.0,0.0,4.3888888889999995,9.6,9.8
124,2019.0,9.0,2.0,14.0,30.0,17.56666667,14.9,8.7
125,2019.0,9.0,6.0,1.0,15.0,13.23888889,8.6,8.7
126,2019.0,6.0,1.0,23.0,30.0,12.91111111,33.6,31.6
127,2018.0,12.0,23.0,11.0,15.0,3.727777778,9.3,13.8
128,2018.0,12.0,15.0,10.0,15.0,2.4555555559999998,16.6,8.5
129,2019.0,7.0,24.0,13.0,15.0,20.66666667,9.0,14.3
130,2019.0,3.0,13.0,23.0,30.0,4.766666667,12.8,12.6
131,2019.0,3.0,15.0,16.0,0.0,6.027777778,8.7,9.1
132,2019.0,7.0,2.0,21.0,45.0,13.66666667,32.6,25.1
133,2019.0,4.0,11.0,19.0,15.0,4.2,0.0,0.0
134,2019.0,7.0,10.0,21.0,15.0,17.13333333,39.8,34.6
135,2019.0,3.0,10.0,16.0,0.0,4.955555556,7.3,7.0
136,2019.0,8.0,31.0,13.0,30.0,22.09444444,18.5,12.1
137,2019.0,2.0,24.0,5.0,15.0,4.272222222,13.4,13.4
138,2019.0,8.0,5.0,22.0,0.0,19.06111111,24.5,19.6
139,2019.0,4.0,9.0,8.0,15.0,4.3,0.0,0.0
140,2019.0,6.0,14.0,23.0,30.0,16.80555556,9.2,8.5
141,2019.0,7.0,31.0,0.0,45.0,18.28333333,28.9,26.7
142,2019.0,5.0,11.0,21.0,15.0,9.194444444,26.0,13.5
143,2019.0,5.0,24.0,10.0,30.0,13.76666667,6.3,3.5
144,2019.0,6.0,16.0,22.0,15.0,16.96666667,15.6,11.1
145,2019.0,5.0,28.0,10.0,15.0,10.6,19.7,15.9
146,2019.0,7.0,27.0,22.0,15.0,21.19444444,41.0,35.2
147,2019.0,3.0,3.0,3.0,15.0,5.6388888889999995,11.8,11.1
148,2019.0,5.0,21.0,18.0,15.0,14.55,4.0,7.3
149,2019.0,7.0,23.0,10.0,45.0,19.13888889,9.1,8.8
150,2018.0,12.0,31.0,3.0,0.0,4.422222222,9.8,9.6
151,2019.0,1.0,5.0,9.0,0.0,6.45,13.0,17.1
152,2019.0,8.0,11.0,13.0,15.0,20.16111111,19.1,9.4
153,2019.0,5.0,31.0,18.0,0.0,15.43333333,25.9,32.0
154,2019.0,5.0,11.0,1.0,30.0,7.538888889,5.2,5.1
155,2019.0,2.0,20.0,6.0,0.0,4.322222222,12.6,12.4
156,2019.0,1.0,22.0,18.0,0.0,1.961111111,11.3,11.3
157,2019.0,8.0,20.0,16.0,30.0,18.88888889,6.1,4.7
158,2019.0,1.0,16.0,10.0,15.0,5.722222222,7.0,7.4
159,2019.0,7.0,29.0,15.0,15.0,21.68888889,8.4,13.5
160,2019.0,10.0,1.0,17.0,30.0,11.98333333,3.6,6.5
161,2019.0,8.0,19.0,17.0,45.0,18.28888889,8.0,15.1
162,2019.0,4.0,20.0,12.0,30.0,11.23888889,6.5,8.4
